,タイトル,タイトルリンク,typography-hy,point,w-100,口コミ投稿日,text-center,report,report1,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
160,女性/ ストラテジー/ 現職（回答時）/ 中途入社/ 在籍6～10年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3189380/,女性の働きやすさ,3.8,女性の働きやすさ:バックオフィスは女性の活躍も多い会社ですが、営業部門などはまだまだ男性が多いです。仕事において男女で差を感じることは少ないですが、女性の役員などはまだまだ少ないです。,2021年02月 6日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5669991&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5669991/,,,
161,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2144523/,働き方（勤務時間・休日休暇・制度）,4.1,勤務時間・休日休暇：・成果に対する評価が明確、徹底されており、実力があれば、高い給与、評価が保証されているため、成果を上げていれば、勤務時間は自身でのコントロールが可能。・社内の雰囲気は、有給取得を推奨している。・ボランティア活動を推奨しており、休暇に振り替え可能。,2016年04月25日,2016年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2266585&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2266585/,,,
162,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3124779/,成長・働きがい,5.0,成長・キャリア開発:SAASといえばSalesforceなので、SAAS系企業を歩んでいくなら良い選択。働きがい:サラリーと成長性,2020年12月20日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5566794&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5566794/,,,
163,女性/ アカウントパートナー/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4513158/,成長・働きがい,4.6,成長・キャリア開発:実力と時間があれば成長できるし、キャリアも、開発できる。働きがい:有名な企業。営業において必要なシステム。,2022年06月12日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=7308858&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/7308858/,,,
164,男性/ 一般社員/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員/ 営業本部/ 営業,https://en-hyouban.com/company/10025403019/user_kuchikomi/3777448/,成長・働きがい,3.8,成長・キャリア開発:成長意欲の高い人にはとてもいい環境働きがい:働くことでたくさんのお給料をもらうという考え方は大事にしている,2021年12月18日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6544442&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6544442/,,,
165,男性/ SE/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員/ SE/ SE,https://en-hyouban.com/company/10025403019/user_kuchikomi/3042947/,成長・働きがい,4.5,成長・キャリア開発:自社の製品について学べる場が、公開されており社員もそれで学ぶことができる。また資格試験もあるため、キャリアを進めるために積極的に利用する場は提供されている。,2020年10月20日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5429373&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5429373/,,,
166,男性/ カスタマーサクセス/ 現職（回答時）/ 中途入社/ 在籍11～15年/ 正社員/ ディレクター,https://en-hyouban.com/company/10025403019/user_kuchikomi/2430781/,働き方（勤務時間・休日休暇・制度）,5.0,勤務時間・休日休暇:厳しい勤務管理はないので、自分次第。自分で自分をコントロールできないと仕事はいくらでもあるので大変だと思う。多様な働き方支援:リモートワークは週2日認められていたが、アフターコロナはより拍車がかかると思う。,2020年06月 2日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5121204&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5121204/,,,
167,男性/ 広告宣伝/ 退職済み（2019年）/ 中途入社/ 在籍6～10年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3131766/,女性の働きやすさ,4.3,女性の働きやすさ:部署によって差はあるが、働きやすい環境である。本国のリーダーにも女性が多く、とても活発にイベント登壇や社内外への発信を行っている。また、育休制度の活用も進んでいる印象,2020年12月26日,2019年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5579027&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5579027/,,,
168,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/49300/,事業展望・強み・弱み,3.3,成長性・将来性：当時はクラウドブームが起きつつあるときであり、まさにイケイケ状態になりつつありました。しかしながらそれだけでなく、サービスのクオリティも高く顧客の成功にフォーカスしていることから将来性が期待でき、現在もそれは続いているようです。,2015年08月 1日,2007年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=762603&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/762603/,,,
169,男性/ アカウントエグゼクティブ/ 退職済み（2020年）/ 中途入社/ 在籍21年以上/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4022019/,年収・給与,4.5,給与制度:ベース:インセンティブは、6:4でした。インセンティブは個人の新規の売上高に連動します評価制度:不明瞭,2022年02月19日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6818601&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6818601/,,,
170,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍21年以上/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2215383/,成長・働きがい,3.9,成長・キャリア開発:内資からの初の外資としてとてもいい会社。働きがい:提案内容自体は面白いので役に立つことが多い。,2021年10月23日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6347665&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6347665/,,,
171,男性/ 税務/ 現職（回答時）/ 中途入社/ 在籍6～10年/ 正社員/ 税務/ 部長,https://en-hyouban.com/company/10025403019/user_kuchikomi/3222474/,成長・働きがい,3.7,成長・キャリア開発:個人のモチベーションの問題かと思います。働きがい:転職する気が無くなるくらい待遇のいい会社です,2021年03月 5日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5719657&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5719657/,,,
172,男性/ AE/ 退職済み（2019年）/ 中途入社/ 在籍3～5年/ 正社員/ EBU/ AE,https://en-hyouban.com/company/10025403019/user_kuchikomi/3064440/,働き方（勤務時間・休日休暇・制度）,5.0,勤務時間・休日休暇:休暇はない多様な働き方支援:Remoteは可能だが、基本的には顧客に合わせる為、顧客に依存する,2020年11月 5日,2019年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5465419&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5465419/,,,
173,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2144523/,福利厚生・オフィス環境,4.1,福利厚生：・オフィス勤務社員が恩恵を受ける割合が高い。・女性社員に対する制度が十分とはいえない。・いい意味で優秀な社員が活躍できる制度、風土がつよく、リテンション率は高い。・コアの制度は米国本社で管理、日本語化されていない内容もあり。,2016年04月25日,2016年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2266559&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2266559/,,,
174,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2000439/,福利厚生・オフィス環境,4.9,福利厚生：とてもエキサイティングな環境で、オフィスは綺麗でだし朝Yogaのクラスがあったり本当に働きやすくやりがいのある会社だと思います。仕事もワークライフバランスを意識してプライベートも大事にできます。福利厚生や仕事の環境として最高です。,2015年10月29日,2014年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2142971&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2142971/,,,
175,,,成長・働きがい,,成長・キャリア開発：【上司や先輩による指導の有無】特に超大企業向けの営業は、指導などないと考えたほうが良いです。    チューターという人間がつきますが、後から「実はチューターだったんだけど」と言われるような始末です。    上司の常務は、全く使えません。,2015年08月 1日,2012年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=593623&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/593623/,,,
176,女性/ アカウントエグゼクティブ/ 退職済み（2022年）/ 中途入社/ 在籍3～5年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3518041/,成長・働きがい,2.8,成長・キャリア開発:営業の基礎を学ぶにはもってこいの環境です。周りのレベルも高く、営業についての基礎をしっかり学ぶことができるので次のキャリアでも活きてきます。,2022年02月28日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6858722&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6858722/,,,
177,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2144523/,成長・働きがい,4.1,成長・キャリア開発：クラウドサービスでは、世界でも最先端をいっている会社のため、先進的な技術、サービス、イノベーティブな導入事例を誰よりも早く知る事ができます。イベント、セミナーも多くあり、情報量はどの会社よりも多く得られる会社だと思います。,2016年04月25日,2016年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2266544&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2266544/,,,
178,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/49300/,事業展望・強み・弱み,3.3,社長の手腕：IBM出身ですが、正直あまり洗練されたイメージというより大声で社員にハッパをかけるタイプです。その為少しギャップを感じる社員も多かったですが、現在でも社を引っ張っていることからもその手腕は評価されているようです。,2015年08月 1日,2007年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=762604&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/762604/,,,
179,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3～5年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2445431/,成長・働きがい,5.0,成長・キャリア開発:高い営業スキルを求められるため成長につながる働きがい:変化が早くチャレンジに事欠かない,2022年01月10日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6609567&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6609567/,,,
180,女性/ インサイドセールス/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3464539/,女性の働きやすさ,4.9,女性の働きやすさ:産休・育休後の働き方について上司に相談するとすぐにルールの見直しがなされるなど、育休後も働きたい意欲がある人に対しての保障は充実していると感じる。,2021年07月27日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6058774&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6058774/,,,
181,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3～5年/ 正社員/ 営業,https://en-hyouban.com/company/10025403019/user_kuchikomi/3226690/,年収・給与,4.9,給与制度:インセンティブ制度の為、実績に応じて給与支払われます。評価制度:実力主義で営業職は分かりやすい。,2021年03月 9日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5725931&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5725931/,,,
182,女性/ ストラテジー/ 現職（回答時）/ 中途入社/ 在籍6～10年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3189380/,成長・働きがい,3.8,成長・キャリア開発:学びへの補助制度は充実している方だと思います。働きがい:やはり給与の高さだと思います。,2021年02月 6日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5669992&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5669992/,,,
183,男性/ account executive/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3616498/,年収・給与,4.5,給与制度:基本給+インセインティブで構成売上が全て評価制度:目標を達成出来ているかどうかが評価軸,2021年10月 4日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6281130&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6281130/,,,
184,男性/ AE/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2832680/,福利厚生・オフィス環境,5.0,福利厚生:退職金等の福利厚生はないが、その分社内のファシリティ等は十分すぎるものが備わっている、オフィス環境:東京駅直結で立地面も申し分がない。共有スペースでは飲み物やちょっとした軽食が常に置いてある。,2020年06月 3日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5125850&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5125850/,,,
185,男性/ IT系エンジニア（アプリ開発、ITコンサル 他）/ 現職（回答時）/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2377144/,働き方（勤務時間・休日休暇・制度）,,勤務時間・休日休暇：残業手当はかなりでる。  残業する人としない人がはっきり分かれており、個々人の仕事量に偏りがでている。  10時以降まで残業すると深夜手当がつく。  残業時間が月60時間(360協定)を超えると指導が入る仕組みとなっている。,2017年07月 4日,2017年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2561391&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2561391/,,,
186,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2144523/,成長・働きがい,4.1,教育・研修：・情報量が多くあり、整備しきれておらず、中途社員は相当整理に苦労する。・技術、サービスの進化スピードが早く、日頃より情報収集に努めておかないとついていくのは一苦労。・部門によりオペレーションレベルにかなり差がある。,2016年04月25日,2016年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2266548&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2266548/,,,
187,男性/ アカウント・エグゼクティブ/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4053089/,年収・給与,4.9,給与制度:営業は基本給＋四半期毎のコミッション制。目標に対する達成度が良ければその分コミッションは増えるが、成績が振るわなければ基本給＋少額になってしまう。,2022年02月26日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6850854&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6850854/,,,
188,男性/ 法務/ 現職（回答時）/ 中途入社/ 在籍21年以上/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3680233/,福利厚生・オフィス環境,5.0,福利厚生:福利厚生もとてもよい。自由に飲み物が飲める。オフィス環境:綺麗なオフィス。今度移転する。,2021年11月 3日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6387812&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6387812/,,,
189,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4387423/,入社前とのギャップ,4.8,入社時の期待と入社後のギャップ:営業組織はもっと厳しい環境かと思っていたが、入社してみたところ厳しいには厳しいが給与、組織、社内システムなど充実していた。,2022年05月16日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=7169143&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/7169143/,,,
190,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2144523/,年収・給与,4.1,給与水準：営業部門については、ベースがありますが、インセンティブは完全な成果報酬型が導入されています。ベース・インセンティブレートは、中途の場合経験値により違いがあります。競合他社と比較しても給与水準は高いと思います。,2016年04月25日,2016年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2266542&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2266542/,,,
191,男性/ 営業系（営業、MR、営業企画 他）/ 退職済み/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2144523/,働き方（勤務時間・休日休暇・制度）,4.1,勤務時間・休日休暇：・成果を上げるために残業（実労時間）は、総じて長い。・入社後間もない間は、一般的には相当なハードワークをしないと期待された評価を得ることは難しい。・表面上の制度（社内の雰囲気作り）と現場実態には乖離がある。,2016年04月25日,2016年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2266586&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2266586/,,,
192,男性/ 営業系（営業、MR、営業企画 他）/ 現職（回答時）/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/1404660/,福利厚生・オフィス環境,5.0,福利厚生：最新の機器、たとえばPC類やスマートフォンやサーバーなどが容易に手に入るので、常に時代遅れにはならないように知識を身につけることができます。安定した環境の中、のびのびと仕事を進めることが出来るかと思います。,2015年08月 1日,2015年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=1383657&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/1383657/,,,
193,男性/ IT系エンジニア（アプリ開発、ITコンサル 他）/ 現職（回答時）/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2436799/,企業カルチャー・組織体制,,企業文化・社風・組織体制：【働きやすい環境か】自由な社風であり、若手でも良い意見なら汲み取ってもらえる。実力を重んじる。また福利厚生がしっかりしており、会社のファシリティやサービスに関して不満を漏らしてる社員はほとんどいない。,2018年01月16日,2017年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2696586&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2696586/,,,
194,男性/ 営業系（営業、MR、営業企画 他）/ 現職（回答時）/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/1404660/,成長・働きがい,5.0,働きがい：給与水準はかなり高いほうではないでしょうか。インセンティブも多いですし、金銭面での社員のモチベート要因は非常に多いですね。また、表彰がよく行われていて、一定の成績を残すと更にインセンティブが入ります。,2015年08月 1日,2015年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=1383656&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/1383656/,,,
195,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4387423/,年収・給与,4.8,給与制度:営業系の職種は目標の達成しだい。評価制度:営業職は目標の達成率しだい。,2022年05月16日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=7169137&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/7169137/,,,
196,男性/ IT系エンジニア（アプリ開発、ITコンサル 他）/ 現職（回答時）/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2436799/,入社前とのギャップ,,入社理由・入社後の印象：【入社理由】もともとユーザーとして使っており、製品に魅力を感じたため入社した。【入社後のギャップ】思ってた以上にユーザに対して製品を使って成功してもらうには何が必要かを全ての社員が考えている。,2018年01月16日,2017年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=2696584&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/2696584/,,,
197,,,成長・働きがい,,働きがい：【失敗に対しての寛容さ】寛容か厳しいかで言い表すのが難しい。責任を一人に押し付けたり、非難したりする風土ではないが、失敗を繰り返すような人は業務スピードについていけなくなり自然と辞めて行く。,2015年08月 1日,2014年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=1040280&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/1040280/,,,
198,男性/ アカウントエグゼクティブ/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員/ EBU,https://en-hyouban.com/company/10025403019/user_kuchikomi/2898512/,年収・給与,4.3,給与制度:エンタープライズセールスのアカウントエグゼクティブは月給＋インセンティブ制。月給とインセンティブの比率は6:4でした。,2021年07月13日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6017488&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6017488/,,,
199,,,福利厚生・オフィス環境,,福利厚生：【有給休暇の消化率とそれを促進する制度・取り組み】50%ぐらい。    特段、促すような仕組みはないが、風土として休みやすい。管理職が積極的に消化していることも要因としてあげられるかも。,2015年08月 1日,2013年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=349384&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/349384/,,,
200,,,成長・働きがい,,成長・キャリア開発：【新しい仕事に挑戦できる環境か】革新的なプロダクトを扱うことが出来き、とてもエキサイティングな職場。    ただし、SIerやIT企業での営業経験がないとアポ取り等の下積みからスタート。,2015年08月 1日,2013年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=261250&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/261250/,,,
201,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3124779/,女性の働きやすさ,5.0,女性の働きやすさ:営業だと業務量的にハードルがある。ただ、例外的に出産、子育てから戻ってきてバリバリ働いている人もいる。,2020年12月20日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5566793&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5566793/,,,
202,女性/ アカウントパートナー/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4513158/,年収・給与,4.6,給与制度:インセンティブとベース評価制度:実力車着だと思う,2022年06月12日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=7308853&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/7308853/,,,
203,男性/ 税務/ 現職（回答時）/ 中途入社/ 在籍6～10年/ 正社員/ 税務/ 部長,https://en-hyouban.com/company/10025403019/user_kuchikomi/3222474/,女性の働きやすさ,3.7,女性の働きやすさ:かなり働きやすいと思います。契約によりますが、勤務時間や休暇取得はほぼ希望すればOKです。,2021年03月 5日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5719656&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5719656/,,,
204,,,成長・働きがい,,成長・キャリア開発：【会社による社員の成長支援について】ハイパフォーマンスを発揮してもらうための仕組みは、外資系企業ならではですね。    目標達成した時には、とても素晴らしい体験ができるでしょう。,2015年08月 1日,2012年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=587793&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/587793/,,,
205,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4387423/,福利厚生・オフィス環境,4.8,福利厚生:充実している。オフィス環境:とても良い。,2022年05月16日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=7169138&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/7169138/,,,
206,男性/ 広告宣伝/ 退職済み（2019年）/ 中途入社/ 在籍6～10年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3131766/,福利厚生・オフィス環境,4.3,オフィス環境:立地も東京の中心、会議室も多く、モニター完備。カフェも広くリラックスして働ける環境が整っている,2020年12月26日,2019年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5579024&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5579024/,,,
207,女性/ アカウントエグゼクティブ/ 退職済み（2022年）/ 中途入社/ 在籍3～5年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3518041/,企業カルチャー・組織体制,2.8,ダイバーシティ・多様性:ダイバーシティについては推進しており、それに反することをするとすぐクビになります。,2022年02月28日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6858720&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6858720/,,,
208,女性/ ストラテジー/ 現職（回答時）/ 中途入社/ 在籍6～10年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3189380/,事業展望・強み・弱み,3.8,事業の強み:本社CEOマークベニオフのカリスマ性。社員はリスペクトしていて、彼のメッセージが浸透しやすい。,2021年02月 6日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5669993&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5669993/,,,
209,男性/ IT系エンジニア（アプリ開発、ITコンサル 他）/ 現職（回答時）/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/2404206/,企業カルチャー・組織体制,4.9,企業文化・社風・組織体制：素晴らしい企業文化があるが、会社の成長が高いので毎月中途入社があり、違う企業文化に慣れた人たちが増えて今後も今の良い文化を維持することを考えていかなければならない。,2019年07月18日,2019年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=4389219&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/4389219/,,,
210,,,成長・働きがい,,働きがい：【チーム重視or個人重視】基本的に個人プレーがメインになる。その過程でチーム内で協力することもあるが、評価に組み込まれにくいため、その程度は個人の人格に左右される。,2015年08月 1日,2014年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=999674&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/999674/,,,
211,男性/ アカウントエグゼクティブ/ 現職（回答時）/ 中途入社/ 在籍6～10年/ 正社員/ 営業本部/ 無し,https://en-hyouban.com/company/10025403019/user_kuchikomi/3328490/,女性の働きやすさ,4.9,女性の働きやすさ:自分のペースで仕事ができる。また所属部門の異動等について自由に手をあげることができる,2021年05月31日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5872650&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5872650/,,,
212,男性/ アカウントエグゼクティブ/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員/ EBU,https://en-hyouban.com/company/10025403019/user_kuchikomi/2898512/,企業カルチャー・組織体制,4.3,企業カルチャー・社風:LGBTへの理解、ボランティア活動奨励（ボランティア活動専用の休暇が付与される）,2020年07月 8日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5205167&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5205167/,,,
213,,,成長・働きがい,,成長・キャリア開発：【業種や職種ならではの身につく知識・スキル】単に商品知識が付くだけでなく、BI/AS  IS/TO  BEなどを想定し、顧客にとって最適な提案を考える力が身に付く。,2015年08月 1日,2013年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=265339&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/265339/,,,
214,,,成長・働きがい,,成長・キャリア開発：【業種や職種ならではの知識・スキルが身につくか】エンタープライズ向けのクラウド環境の知識、スキルでは、No.1だと思います。    営業のスキルはつかないでしょう。,2015年08月 1日,2012年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=586456&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/586456/,,,
215,男性/ サポート/ 現職（回答時）/ 中途入社/ 在籍21年以上/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3530917/,成長・働きがい,4.7,働きがい:自分次第で新しいことにどんどんチャレンジできる風土はある。社内移動も活発に行われている。,2021年12月19日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6546300&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6546300/,,,
