,タイトル,タイトルリンク,typography-hy,point,w-100,口コミ投稿日,text-center,report,report1,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
10,男性/ account executive/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3616498/,働き方（勤務時間・休日休暇・制度）,4.5,勤務時間・休日休暇:提案など立て込むと非常に忙しくなる。ワークライフバランスをとるために意識的に調整をしていく事が必要。休暇については、初年度20日の有給休暇と数日の傷病休暇が利用可能。夏期休暇などは有給休暇から捻出して自由に取る形。休めるなら休むし、そうでない時は働くといった形。多様な働き方支援:フルリモートで勤務できる。早帰りも問題なく出来る。仕事の量が多いので、いかに効率よく進めるかは必須で、そのための環境面での支援は充実している。副業は不明だが周りで副業している人は見た事がない。,2021年10月 4日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6281132&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6281132/,,,
11,男性/ Solution Engineer/ 現職（回答時）/ 新卒入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4145645/,働き方（勤務時間・休日休暇・制度）,4.9,勤務時間・休日休暇:新卒入社は色々勉強しないといけないので、就業後でも勉強に時間を当てることが多いと思うが、経験を積み重ねるにつれて、個人のワークライフバランスを保ちやすい環境だと思う。有給休暇に関して、申請の手続きはそこまで煩わしくなく、マネージャーも快く承諾してくださることが多いというイメージ。多様な働き方支援:リモートワークは現在の主流の働き方になっている。もちろん、出社願望の人なら、事前申請して、会社で仕事することもできる。部門にはよるが、自分の担当する仕事が終了したら、出社の時間は自由に調整することができる。,2022年03月18日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6939201&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6939201/,,,
12,女性/ アカウントパートナー/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4513158/,企業カルチャー・組織体制,4.6,企業カルチャー・社風:オハナ、みんな家族という考え方で社員だけでなく家族やパートナー、お客様、地域をステークホルダーと考えて世界を良くしていこうと言った考え方組織体制・コミュニケーション:Slackで会話をする。あとはセールスフォース上のチャターでも会話する。情報を共有するカルチャー、文化、カルチャーがある。ダイバーシティ・多様性:国籍や人種はさまざまなで、みんなを受け入れているカルチャー。またしょうがいしゃ採用もしており、そのようなとくていのポジションもある。,2022年06月12日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=7308856&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/7308856/,,,
13,女性/ インサイドセールス/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3464539/,福利厚生・オフィス環境,4.9,福利厚生:外資のため住宅補助は無いが、不妊治療のための補助金、毎月1万円の健康投資補助金など特徴的な福利厚生がいくつかある。オフィス環境:テレワークを基本とする方針が決められた2020年3〜4月頃、自宅環境を整えるための補助金が支給される(＆ヘッドセットやモバイルルーターなど基本のファシリティは別途与えられる)など、手厚いなと思った。現状その補助で自宅環境も仕事はしやすいが、やはりオフィスの充実度も大きな魅力の一つである。軽食スペースや様々なレイアウトのデスクで気持ちを切り替えながら集中して仕事ができる。,2021年07月27日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6058772&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6058772/,,,
14,男性/ 一般社員/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員/ 営業本部/ 営業,https://en-hyouban.com/company/10025403019/user_kuchikomi/3777448/,福利厚生・オフィス環境,3.8,福利厚生:福利厚生は大変充実している、一方でなぜこんなにも福利厚生が良いのか考えてみると仕事の内容や進め方が企業独自のオペレーション能力を持っており、それが好業績をあげる一方で万人が扱いやすいオペレーションではないと感じる。そのオペレーションを耐えうるための手厚い福利厚生と考えると納得感も高いオフィス環境:おしゃれなカフェテリアや無料のお菓子などがおいてあり、とてもいい環境で働けていると感じる。おそらく日本企業では考えられないほどに社内の環境は充実している。まるで。BtoCビジネスをおこなっている企業のようにも感じる。,2021年12月18日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6544438&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6544438/,,,
15,女性/ インサイドセールス/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3673358/,働き方（勤務時間・休日休暇・制度）,3.8,勤務時間・休日休暇:ワークライフバランスを取れるかどうかは自分次第といえば聞こえはいいが、やはり特に営業になると昼夜問わず仕事せざるを得ない状況に陥っている人はよくいる。任されるテリトリーによって状況は異なる。インサイドセールスは営業ほど忙しくはないが、仕事にどこかで終わりを設けないと無限にできてしまうのでタスクを抱えやすい人は注意。ナレッジに体系的にアクセスしやすいかというとそうでもなく、日々色んな人が色んなところで自分に必要な情報をかき集めているような状態で、必要な情報を集めるための時間がかかっている印象。この辺りはまだまだ仕組み化の余地があると思う。,2021年10月30日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6376571&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6376571/,,,
16,女性/ BDR/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3237502/,企業カルチャー・組織体制,4.8,企業カルチャー・社風:OHANAという文化が根付いている。みんなで助け合う空気があり、それにより仕事が捗りやすかったりする。組織体制・コミュニケーション:コミュニケーションは活発。以前まではCHATTERという自社製品を用いてコミュニケーションをとっていたが、最近はSLACKを使っている。ダイバーシティ・多様性:ダイバーシティを感じられることは多く、もちろん女性も多いです。同期には日本国籍以外の方も数名いたり、障害のある方もいました。,2021年03月17日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5742726&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5742726/,,,
17,女性/ インサイドセールス/ 現職（回答時）/ 中途入社/ 在籍21年以上/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4156889/,企業カルチャー・組織体制,3.5,企業カルチャー・社風:社会貢献とビジネスの両立を目指しており、日頃から社員にボランティアの機会が積極的に提供されている。組織体制・コミュニケーション:リモートワーク中でもchatter、Slack、web会議環境などが十分に備わっており、コミュニケーションに不自由はしない。ダイバーシティ・多様性:LGBTQへの取り組みや、障害者雇用に注力している。また、不妊治療補助費などもあり、多様性を受け入れる＋支持してくれる環境がある。,2022年03月21日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6949210&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6949210/,,,
18,男性/ 営業（法人向け）/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員/ インダストリーバリューセリング事業本部/ リードソリューションエンジニア,https://en-hyouban.com/company/10025403019/user_kuchikomi/3647141/,事業展望・強み・弱み,4.1,事業の強み:SaaSによるCRM／SFAソリューションの先駆者であり、グローバルトップランナーである。事業の弱み:M&Aで事業領域を拡大していて、インテグレーションが大変になること。高度なテクノロジー知識と、お客様の業務理解の両方を持つ人材の確保が難しくなっていること。事業展望:デジタルトランスフォーメーションは今後も伸びるものの、競合も多くなり、お客様がどういう基準で何を選べばいいのかを判断するプロセスが長くなる。,2021年12月16日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6536045&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6536045/,,,
19,男性/ インサイドセールス/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4192812/,年収・給与,5.0,給与制度:インサイドセールス部門で年収が500-800万円程のイメージ。とは言え基本給は年俸制で賞与はなく、インセンティブで稼ぐといった内容のため、個人差が出る。昇給スピードに関しても個人の成績が大きく関係しており、長く在籍したから上がるといった文化ではなく、結果によって昇進していくイメージ。ダイレクトに外勤営業といったクローザーの立場に転職される方もいるが、IT未経験者の場合は、インサイドセールスから始まり早くて2-3年でクローザーの立場にたどり着くことができる。ここは青天井でお客様の成功がそのまま給料に直結していく。,2022年03月29日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6982693&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6982693/,,,
20,男性/ アカウントエグゼクティブ/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員/ EBU,https://en-hyouban.com/company/10025403019/user_kuchikomi/2898512/,働き方（勤務時間・休日休暇・制度）,4.3,勤務時間・休日休暇:裁量型のためやることさえやっていれば、就労時間の組み立ては自由度が高い。定時以降に勉強会なども開催されているため、業務に慣れるまで（特に入社2-3年）は勉強会への参加はほぼ必須。自習や翌日以降の準備などを加味すると、定時上がりはなかなか難しいと思う。IT業界の特性ゆえ、週末でもアンテナを張って情報収集されている方が多いように思う。多様な働き方支援:現状はコロナの影響もあり、リモートワークがベース。（一応社内申請すれば外出は可能）,2020年07月 8日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5205166&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5205166/,,,
21,男性/ アカウント・エグゼクティブ/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4053089/,企業カルチャー・組織体制,4.9,企業カルチャー・社風:非常にカルチャーを大切にする会社でオープンだと思います。色々なところで書かれていることに違和感はないです。組織体制・コミュニケーション:色々な対策は立てていますが、社員同士のコミュニケーションは在宅勤務になりかなり薄くなってしまっているのが現状だと思います。ダイバーシティ・多様性:この辺りについては会社全体で力を入れているところですので、他企業よりも進んでいると思います。,2022年02月26日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6850857&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6850857/,,,
22,男性/ account executive/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3616498/,企業カルチャー・組織体制,4.5,企業カルチャー・社風:みんなで戦う、みんなで成功を祝うような雰囲気がある。組織体制・コミュニケーション:リモートという事もあり社員同士のコミュニケーションは希薄に感じる。意識的に交流を持たせるような取り組みもしていると思う。ダイバーシティ・多様性:グローバル企業の中でも特に、ダイバーシティは気を付けているように感じる。多様性を認め、それらに対する平等性を重視している。,2021年10月 4日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6281133&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6281133/,,,
